rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
48,,"Hell in the Pacific",1968,http://www.icheckmovies.com/movies/hell+in+the+pacific/,725,44,5,2,79,,http://www.imdb.com/title/tt0063056/,"2011-03-16 00:16:55",no,no,no,no
49,,"Oh! What a Lovely War",1969,http://www.icheckmovies.com/movies/ohexclamation+what+a+lovely+war/,260,13,7,1,69,,http://www.imdb.com/title/tt0064754/,no,no,no,no,no
50,,"L'armée des ombres",1969,http://www.icheckmovies.com/movies/larmee+des+ombres/,3880,580,21,17,458,"Army of Shadows",http://www.imdb.com/title/tt0064040/,"2010-12-22 17:01:18",no,no,no,no
51,,"Battle of Britain",1969,http://www.icheckmovies.com/movies/battle+of+britain/,828,28,15,1,61,,http://www.imdb.com/title/tt0064072/,"2011-12-31 18:15:32",no,no,no,no
52,,M*A*S*H,1970,http://www.icheckmovies.com/movies/mstarastarsstarh-1970/,13148,621,173,21,485,,http://www.imdb.com/title/tt0066026/,"2012-02-14 01:05:50",no,no,no,no
53,,Patton,1970,http://www.icheckmovies.com/movies/patton/,13983,789,57,13,533,,http://www.imdb.com/title/tt0066206/,"2010-01-30 15:23:27",no,no,no,no
54,,Catch-22,1970,http://www.icheckmovies.com/movies/catch-22/,2945,150,34,5,175,,http://www.imdb.com/title/tt0065528/,"2010-01-30 15:23:27",no,no,no,no
55,,"Tora! Tora! Tora!",1970,http://www.icheckmovies.com/movies/toraexclamation+toraexclamation+toraexclamation/,2536,107,14,3,149,,http://www.imdb.com/title/tt0066473/,"2018-12-07 18:17:57",no,no,no,no
56,,"Lacombe Lucien",1974,http://www.icheckmovies.com/movies/lacombe+lucien/,1326,117,14,8,240,,http://www.imdb.com/title/tt0071733/,"2012-06-21 03:41:53",no,no,no,no
57,,"The Eagle Has Landed",1976,http://www.icheckmovies.com/movies/the+eagle+has+landed/,889,25,7,1,61,,http://www.imdb.com/title/tt0074452/,"2012-05-04 17:00:30",no,no,no,no
58,,"Cross of Iron",1977,http://www.icheckmovies.com/movies/cross+of+iron/,1630,110,18,3,154,,http://www.imdb.com/title/tt0074695/,no,no,no,no,no
59,,"A Bridge Too Far",1977,http://www.icheckmovies.com/movies/a+bridge+too+far/,2366,105,20,3,150,,http://www.imdb.com/title/tt0075784/,"2012-05-04 16:53:47",no,no,no,no
60,,"The Deer Hunter",1978,http://www.icheckmovies.com/movies/the+deer+hunter/,32126,2460,220,24,926,,http://www.imdb.com/title/tt0077416/,"2010-01-30 15:23:28",no,no,no,no
61,,"Apocalypse Now",1979,http://www.icheckmovies.com/movies/apocalypse+now/,62965,6504,357,35,1512,,http://www.imdb.com/title/tt0078788/,"2010-01-30 15:23:26",no,no,no,no
62,,"The Big Red One",1980,http://www.icheckmovies.com/movies/the+big+red+one/,3146,147,31,10,257,,http://www.imdb.com/title/tt0080437/,"2012-08-02 13:30:30",no,no,no,no
63,,Gallipoli,1981,http://www.icheckmovies.com/movies/gallipoli/,4184,183,16,6,213,,http://www.imdb.com/title/tt0082432/,"2020-05-28 20:11:04",no,no,no,no
64,,"Das Boot",1981,http://www.icheckmovies.com/movies/das+boot/,21874,1868,89,15,715,,http://www.imdb.com/title/tt0082096/,"2010-01-30 15:23:27",no,no,no,no
65,,"The Killing Fields",1984,http://www.icheckmovies.com/movies/the+killing+fields/,7546,398,34,11,331,,http://www.imdb.com/title/tt0087553/,"2012-02-04 16:08:54",no,no,no,no
66,,Ran,1985,http://www.icheckmovies.com/movies/ran/,13173,1577,82,23,768,,http://www.imdb.com/title/tt0089881/,"2010-01-30 15:23:27",no,no,no,no
